iter	Passed	Remaining
0	34	5697
1	63	5212
2	96	5301
3	125	5125
4	153	4960
5	181	4862
6	199	4568
7	231	4595
8	258	4543
9	278	4374
10	306	4345
11	335	4329
12	350	4148
13	375	4103
14	414	4195
15	433	4094
16	461	4069
17	480	3977
18	508	3958
19	534	3930
20	549	3822
21	574	3783
22	589	3689
23	603	3598
24	610	3469
25	629	3413
26	656	3403
27	676	3360
28	705	3355
29	732	3344
30	761	3341
31	788	3328
32	816	3314
33	845	3309
34	882	3327
35	909	3310
36	926	3255
37	964	3272
38	992	3258
39	1003	3185
40	1033	3176
41	1064	3168
42	1093	3152
43	1123	3139
44	1146	3109
45	1174	3089
46	1206	3081
47	1236	3064
48	1264	3045
49	1293	3026
50	1323	3009
51	1350	2987
52	1380	2968
53	1415	2961
54	1443	2939
55	1454	2883
56	1482	2860
57	1512	2842
58	1539	2818
59	1567	2795
60	1582	2749
61	1612	2730
62	1638	2705
63	1665	2680
64	1689	2651
65	1718	2629
66	1745	2605
67	1774	2583
68	1802	2560
69	1829	2535
70	1858	2513
71	1890	2494
72	1919	2471
73	1947	2446
74	1974	2422
75	2002	2397
76	2030	2373
77	2058	2348
78	2091	2329
79	2112	2296
80	2141	2274
81	2170	2249
82	2194	2220
83	2221	2195
84	2250	2170
85	2278	2146
86	2306	2121
87	2317	2080
88	2344	2054
89	2356	2015
90	2372	1981
91	2401	1957
92	2437	1939
93	2465	1914
94	2493	1890
95	2520	1864
96	2552	1841
97	2580	1816
98	2595	1782
99	2621	1756
100	2650	1731
101	2678	1707
102	2707	1682
103	2734	1656
104	2762	1631
105	2769	1593
106	2797	1568
107	2823	1542
108	2852	1517
109	2868	1486
110	2896	1461
111	2920	1434
112	2948	1409
113	2976	1383
114	3005	1359
115	3019	1327
116	3039	1299
117	3068	1274
118	3096	1248
119	3133	1227
120	3148	1197
121	3178	1172
122	3207	1147
123	3233	1121
124	3262	1096
125	3277	1066
126	3305	1040
127	3331	1015
128	3342	984
129	3353	954
130	3381	929
131	3411	904
132	3451	882
133	3480	857
134	3508	831
135	3535	805
136	3551	777
137	3579	752
138	3607	726
139	3635	701
140	3665	675
141	3692	650
142	3719	624
143	3750	599
144	3779	573
145	3806	547
146	3834	521
147	3864	496
148	3894	470
149	3913	443
150	3941	417
151	3961	390
152	3990	365
153	4018	339
154	4045	313
155	4074	287
156	4103	261
157	4122	234
158	4141	208
159	4169	182
160	4197	156
161	4224	130
162	4253	104
163	4280	78
164	4307	52
165	4334	26
166	4362	0
