iter	Logloss
0	0.6724684736
1	0.6533418039
2	0.6358028976
3	0.6192005537
4	0.6053519529
5	0.5920224528
6	0.5797675
7	0.5681326754
8	0.5566183231
9	0.5460786293
10	0.5357844639
11	0.5257309983
12	0.5155850892
13	0.5057795175
14	0.4976972361
15	0.4898999317
16	0.4815888179
17	0.4741883337
18	0.4669650178
19	0.4604613011
20	0.4537434559
21	0.4470420939
22	0.4417611955
23	0.4364017771
24	0.432037293
25	0.4264066735
26	0.4206751662
27	0.4163077324
28	0.4127363942
29	0.4079615215
30	0.4043483552
31	0.4017632079
32	0.3982695123
33	0.3956947571
34	0.3919797001
35	0.3889806961
36	0.3860792778
37	0.3828846216
38	0.3796550505
39	0.3773345176
40	0.3744947289
41	0.3718012309
42	0.369861055
43	0.3671448084444	0.365027598
45	0.3627702039
46	0.3605490302
47	0.3585885585
48	0.356108245
49	0.3545913181
50	0.3530374671
51	0.3512298103
52	0.3493047185
53	0.3473156013
54	0.3457928385
55	0.3433016475
56	0.3416481002
57	0.3402171665
58	0.3392103293
59	0.3381600555
60	0.3363212638
61	0.3346153837
62	0.3324125206
63	0.330860138
64	0.3296147696
65	0.3280033788
66	0.3264905438
67	0.3249999658
68	0.32344769	069	0.321598770	070	0.320051371	071	0.318525372	072	0.3172114167
73	0.3161253716
74	0.3145735597
75	0.31356376	0.76	0.31226377	0.77	0.31128478	0.78	0.31009679	0.79	0.30939980	0.80	0.30838881	081	0.306835982	082	0.3062429913
83	0.3046314717
84	0.3032169014
85	0.30135638
86	0.2988103925
87	0.2971324588	88	0.2958124789	89	0.293182714
90	0.2919519153
91	0.290637646
92	0.2891886696993	0.2887887309494	0.2870862579595	0.2854809229696	0.2839547499797	0.2830549649898	0.2819782019999	0.28101040910100	0.27991243010101	0.27935913010102	0.27706332710103	0.2760952071
104	0.2745915971
105	0.2731654535
106	0.2728258941
107	0.2719138948
108	0.2713127537
109	0.2705261967
110	0.269648644
111	0.2685536955
112	0.2670224372
113	0.2662463188
114	0.264814753
115	0.2637563593
116	0.2632832805
117	0.2630619117
118	0.2610500236
119	0.2604645175
120	0.2598904763
121	0.2589874211
122	0.2583555098
123	0.2578767056
124	0.2570055027
125	0.256716625
126	0.256350891
127	0.2557432967
128	0.2553171974
129	0.2547972286
130	0.2543300967
131	0.2537525265
132	0.253191968
133	0.2518516496
134	0.2512675354
135	0.2506106747
136	0.2500950556
137	0.2496983548
138	0.2483655692
139	0.2476834126
140	0.2460847743
141	0.2453197179
142	0.2447973202
143	0.2439565638
144	0.2435245279
145	0.243111146	0146	0.242635147	147	0.2419016148	148	0.2415813149	149	0.2409462150	150	0.240637908
151	0.24015155152152	0.23985469153153	0.2389299031
154	0.2381570841
155	0.2378971351
156	0.2362876195
157	0.2347641286
158	0.2343676513
159	0.2335738861
160	0.2331187387
161	0.2324787839
162	0.2310850146
163	0.2305646699
164	0.2300695935
165	0.2298005719
166	0.2295481416
167	0.2291744281
168	0.2285432125
169	0.2278881547
95985
