iter	Passed	Remaining
0	30	5178
1	72	6128
2	111	6215
3	151	6275
4	187	6181
5	233	6378
6	283	6591
7	320	6499
8	367	6573
9	407	6527
10	458	6630
11	501	6599
12	543	6559
13	578	6450
14	624	6448
15	661	6367
16	694	6252
17	733	6197
18	774	6151
19	813	6101
20	854	6063
21	896	6031
22	941	6015
23	984	5987
24	1025	5947
25	1067	5914
26	1112	5894
27	1155	5860
28	1197	5820
29	1237	5774
30	1276	5721
31	1311	5655
32	1351	5608
33	1389	5556
34	1430	5516
35	1468	5467
36	1513	5441
37	1560	5419
38	1602	5381
39	1642	5337
40	1682	5292
41	1729	5271
42	1782	5263
43	1827	5231
44	1927	5353
45	1969	5308
46	2009	5259
47	2051	5213
48	2088	5156
49	2134	5122
50	2195	5122
51	2238	5079
52	2284	5043
53	2336	5018
54	2391	5000
55	2433	4954
56	2470	4897
57	2509	4846
58	2549	4795
59	2599	4766
60	2641	4720
61	2681	4671
62	2721	4622
63	2761	4573
64	2804	4530
65	2852	4494
66	2900	4458
67	2948	4423
68	2996	4386
69	3045	4350
70	3096	4317
71	3146	4282
72	3190	4238
73	3242	4207
74	3297	4177
75	3342	4133
76	3393	4098
77	3446	4065
78	3499	4031
79	3559	4004
80	3604	3960
81	3654	3921
82	3772	3954
83	3813	3904
84	3864	3864
85	3916	3825
86	3962	3779
87	4005	3732
88	4053	3688
89	4111	3654
90	4166	3616
91	4230	3586
92	4280	3543
93	4336	3506
94	4396	3470
95	4438	3421
96	4487	3376
97	4532	3329
98	4596	3296
99	4644	3251
100	4690	3204
101	4737	3158
102	4796	3119
103	4845	3074
104	4889	3027
105	4933	2978
106	4979	2932
107	5025	2885
108	5068	2836
109	5123	2794
110	5196	2761
111	5250	2718
112	5297	2672
113	5341	2623
114	5385	2575
115	5430	2528
116	5475	2480
117	5529	2436
118	5587	2394
119	5637	2348
120	5686	2302
121	5734	2256
122	5777	2207
123	5820	2159
124	5865	2111
125	5911	2064
126	5954	2016
127	5999	1968
128	6041	1920
129	6097	1876
130	6152	1831
131	6201	1785
132	6248	1738
133	6294	1691
134	6338	1643
135	6377	1594
136	6416	1545
137	6460	1498
138	6513	1452
139	6561	1405
140	6610	1359
141	6650	1311
142	6693	1263
143	6731	1215
144	6769	1167
145	6816	1120
146	6868	1074
147	6916	1028
148	6961	981
149	7006	934
150	7049	887
151	7094	840
152	7145	793
153	7195	747
154	7242	700
155	7284	653
156	7332	607
157	7379	560
158	7423	513
159	7467	466
160	7506	419
161	7546	372
162	7586	325
163	7629	279
164	7670	232
165	7717	185
166	7766	139
167	7805	92
168	7841	46
169	7874	0


